episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,179,128,128.000,0.9875,179
2,122,64,96.000,0.9789,301
3,90,64,85.333,0.9726,391
4,113,64,80.000,0.9647,504
5,142,128,89.600,0.9548,646
6,71,32,80.000,0.9498,717
7,177,128,86.857,0.9374,894
8,106,64,84.000,0.9300,1000
9,182,128,88.889,0.9173,1182
10,94,64,86.400,0.9107,1276
11,168,128,90.182,0.8989,1444
12,114,64,88.000,0.8909,1558
13,129,64,86.154,0.8819,1687
14,130,64,84.571,0.8728,1817
15,130,128,87.467,0.8637,1947
16,183,128,90.000,0.8509,2130
17,155,128,92.235,0.8400,2285
18,134,64,90.667,0.8307,2419
19,178,128,92.632,0.8182,2597
20,185,128,94.400,0.8052,2782
21,152,128,96.000,0.7946,2934
22,184,128,97.455,0.7817,3118
23,211,128,98.783,0.7669,3329
24,144,64,97.333,0.7569,3473
25,90,64,96.000,0.7506,3563
26,225,128,97.231,0.7348,3788
27,125,128,98.370,0.7261,3913
28,152,128,99.429,0.7154,4065
29,243,256,104.828,0.6984,4308
30,87,32,102.400,0.6923,4395
31,58,32,100.129,0.6883,4453
32,124,64,99.000,0.6796,4577
33,213,256,103.758,0.6647,4790
34,150,128,104.471,0.6542,4940
35,308,256,108.800,0.6326,5248
36,195,128,109.333,0.6190,5443
37,123,64,108.108,0.6103,5566
38,238,128,108.632,0.5937,5804
39,210,128,109.128,0.5790,6014
40,164,128,109.600,0.5675,6178
41,117,64,108.488,0.5593,6295
42,111,64,107.429,0.5515,6406
43,189,128,107.907,0.5383,6595
44,103,64,106.909,0.5311,6698
45,120,64,105.956,0.5227,6818
46,166,128,106.435,0.5111,6984
47,74,32,104.851,0.5059,7058
48,127,64,104.000,0.4970,7185
49,98,32,102.531,0.4901,7283
50,234,128,103.040,0.4738,7517
51,106,32,101.647,0.4663,7623
52,100,64,100.923,0.4593,7723
53,325,256,103.849,0.4366,8048
54,111,64,103.111,0.4288,8159
55,193,128,103.564,0.4153,8352
56,216,128,104.000,0.4002,8568
57,240,128,104.421,0.3834,8808
58,518,256,107.034,0.3471,9326
59,260,64,106.305,0.3289,9586
60,105,64,105.600,0.3216,9691
61,209,64,104.918,0.3069,9900
62,187,64,104.258,0.2938,10087
63,367,128,104.635,0.2681,10454
64,81,32,103.500,0.2625,10535
65,86,64,102.892,0.2565,10621
66,328,256,105.212,0.2335,10949
67,219,64,104.597,0.2182,11168
68,174,32,103.529,0.2060,11342
69,280,64,102.957,0.1864,11622
70,106,32,101.943,0.1790,11728
71,126,32,100.958,0.1701,11854
72,167,32,100.000,0.1584,12021
73,167,64,99.507,0.1468,12188
74,344,128,99.892,0.1227,12532
75,616,256,101.973,0.0796,13148
76,606,64,101.474,0.0500,13754
77,533,64,100.987,0.0500,14287
78,657,128,101.333,0.0500,14944
79,469,64,100.861,0.0500,15413
80,414,64,100.400,0.0500,15827
81,690,128,100.741,0.0500,16517
82,539,64,100.293,0.0500,17056
83,680,128,100.627,0.0500,17736
84,163,32,99.810,0.0500,17899
85,902,128,100.141,0.0500,18801
86,220,64,99.721,0.0500,19021
87,199,64,99.310,0.0500,19220
88,1592,256,101.091,0.0500,20812
89,654,128,101.393,0.0500,21466
90,464,64,100.978,0.0500,21930
91,831,128,101.275,0.0500,22761
92,495,64,100.870,0.0500,23256
93,547,128,101.161,0.0500,23803
94,223,16,100.255,0.0500,24026
95,216,32,99.537,0.0500,24242
96,186,64,99.167,0.0500,24428
97,819,128,99.464,0.0500,25247
98,311,32,98.776,0.0500,25558
99,435,64,98.424,0.0500,25993
100,761,128,98.720,0.0500,26754
101,261,64,98.080,0.0500,27015
102,317,64,98.080,0.0500,27332
103,530,64,98.080,0.0500,27862
104,850,128,98.720,0.0500,28712
105,323,32,97.760,0.0500,29035
106,350,64,98.080,0.0500,29385
107,670,64,97.440,0.0500,30055
108,283,64,97.440,0.0500,30338
109,453,128,97.440,0.0500,30791
110,1404,256,99.360,0.0500,32195
111,568,128,99.360,0.0500,32763
112,454,64,99.360,0.0500,33217
113,660,64,99.360,0.0500,33877
114,597,128,100.000,0.0500,34474
115,658,128,100.000,0.0500,35132
116,972,128,100.000,0.0500,36104
117,149,32,99.040,0.0500,36253
118,565,64,99.040,0.0500,36818
119,880,128,99.040,0.0500,37698
120,692,128,99.040,0.0500,38390
121,244,128,99.040,0.0500,38634
122,209,32,98.080,0.0500,38843
123,128,16,96.960,0.0500,38971
124,718,64,96.960,0.0500,39689
125,1357,128,97.600,0.0500,41046
126,354,32,96.640,0.0500,41400
127,353,64,96.000,0.0500,41753
128,929,128,96.000,0.0500,42682
129,436,32,93.760,0.0500,43118
130,461,64,94.080,0.0500,43579
131,389,64,94.400,0.0500,43968
132,585,64,94.400,0.0500,44553
133,660,64,92.480,0.0500,45213
134,274,64,91.840,0.0500,45487
135,261,32,89.600,0.0500,45748
136,223,32,88.640,0.0500,45971
137,399,64,88.640,0.0500,46370
138,861,128,88.640,0.0500,47231
139,866,64,88.000,0.0500,48097
140,377,64,87.360,0.0500,48474
141,668,64,87.360,0.0500,49142
142,970,128,88.000,0.0500,50112
143,262,64,87.360,0.0500,50374
144,348,64,87.360,0.0500,50722
145,193,32,87.040,0.0500,50915
146,359,16,85.920,0.0500,51274
147,483,32,85.920,0.0500,51757
148,458,32,85.600,0.0500,52215
149,646,128,86.560,0.0500,52861
150,132,16,85.440,0.0500,52993
151,323,64,85.760,0.0500,53316
152,369,32,85.440,0.0500,53685
153,784,64,83.520,0.0500,54469
154,438,64,83.520,0.0500,54907
155,557,64,82.880,0.0500,55464
156,668,128,82.880,0.0500,56132
157,242,64,82.240,0.0500,56374
158,363,32,80.000,0.0500,56737
159,1023,256,81.920,0.0500,57760
160,852,128,82.560,0.0500,58612
161,339,32,82.240,0.0500,58951
162,850,128,82.880,0.0500,59801
163,497,32,81.920,0.0500,60298
164,882,128,82.880,0.0500,61180
165,691,64,82.880,0.0500,61871
166,366,64,80.960,0.0500,62237
167,529,64,80.960,0.0500,62766
168,782,128,81.920,0.0500,63548
169,573,64,81.920,0.0500,64121
170,814,128,82.880,0.0500,64935
171,542,64,83.200,0.0500,65477
172,813,256,85.440,0.0500,66290
173,404,64,85.440,0.0500,66694
174,851,128,85.440,0.0500,67545
175,337,64,83.520,0.0500,67882
176,279,32,83.200,0.0500,68161
177,251,64,83.200,0.0500,68412
178,792,128,83.200,0.0500,69204
179,602,128,83.840,0.0500,69806
180,299,32,83.520,0.0500,70105
181,432,128,83.520,0.0500,70537
182,436,64,83.520,0.0500,70973
183,654,128,83.520,0.0500,71627
184,361,64,83.840,0.0500,71988
185,415,64,83.200,0.0500,72403
186,938,128,83.840,0.0500,73341
187,630,64,83.840,0.0500,73971
188,680,64,81.920,0.0500,74651
189,229,32,80.960,0.0500,74880
190,115,8,80.400,0.0500,74995
191,703,64,79.760,0.0500,75698
192,791,128,80.400,0.0500,76489
193,895,128,80.400,0.0500,77384
194,321,32,80.560,0.0500,77705
195,729,128,81.520,0.0500,78434
196,511,32,81.200,0.0500,78945
197,1072,128,81.200,0.0500,80017
198,600,128,82.160,0.0500,80617
199,640,128,82.800,0.0500,81257
200,295,32,81.840,0.0500,81552
201,526,64,81.840,0.0500,82078
202,280,32,81.520,0.0500,82358
203,366,64,81.520,0.0500,82724
204,453,64,80.880,0.0500,83177
205,816,128,81.840,0.0500,83993
206,812,64,81.840,0.0500,84805
207,387,64,81.840,0.0500,85192
208,858,128,82.480,0.0500,86050
209,395,64,81.840,0.0500,86445
210,402,64,79.920,0.0500,86847
