episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,173,128,128.000,0.9894,173
2,230,256,192.000,0.9753,403
3,130,128,170.667,0.9673,533
4,125,128,160.000,0.9596,658
5,101,64,140.800,0.9534,759
6,82,32,122.667,0.9484,841
7,167,128,123.429,0.9381,1008
8,92,64,116.000,0.9325,1100
9,136,128,117.333,0.9242,1236
10,136,64,112.000,0.9158,1372
11,280,256,125.091,0.8986,1652
12,169,128,125.333,0.8883,1821
13,100,64,120.615,0.8821,1921
14,148,128,121.143,0.8730,2069
15,128,64,117.333,0.8652,2197
16,116,64,114.000,0.8581,2313
17,196,128,114.824,0.8460,2509
18,198,256,122.667,0.8339,2707
19,132,128,122.947,0.8258,2839
20,121,128,123.200,0.8184,2960
21,161,128,123.429,0.8085,3121
22,71,32,119.273,0.8041,3192
23,146,64,116.870,0.7952,3338
24,234,256,122.667,0.7808,3572
25,106,64,120.320,0.7743,3678
26,142,64,118.154,0.7656,3820
27,174,128,118.519,0.7549,3994
28,130,128,118.857,0.7469,4124
29,120,64,116.966,0.7396,4244
30,90,64,115.200,0.7340,4334
31,77,32,112.516,0.7293,4411
32,191,128,113.000,0.7176,4602
33,179,128,113.455,0.7066,4781
34,91,64,112.000,0.7010,4872
35,121,64,110.629,0.6936,4993
36,99,64,109.333,0.6875,5092
37,117,64,108.108,0.6803,5209
38,263,256,112.000,0.6642,5472
39,224,128,112.410,0.6505,5696
40,165,128,112.800,0.6403,5861
41,199,128,113.171,0.6281,6060
42,192,128,113.524,0.6163,6252
43,130,64,112.372,0.6084,6382
44,134,64,111.273,0.6001,6516
45,219,128,111.644,0.5867,6735
46,111,64,110.609,0.5799,6846
47,203,128,110.979,0.5674,7049
48,236,128,111.333,0.5529,7285
49,147,128,111.673,0.5439,7432
50,117,64,110.720,0.5367,7549
51,184,128,111.059,0.5255,7733
52,135,128,111.385,0.5172,7868
53,182,128,111.698,0.5060,8050
54,144,64,110.815,0.4972,8194
55,148,64,109.964,0.4881,8342
56,120,64,109.143,0.4807,8462
57,148,64,108.351,0.4716,8610
58,343,128,108.690,0.4506,8953
59,213,128,109.017,0.4375,9166
60,157,64,108.267,0.4279,9323
61,167,64,107.541,0.4176,9490
62,179,128,107.871,0.4066,9669
63,81,32,106.667,0.4017,9750
64,241,128,107.000,0.3869,9991
65,181,128,107.323,0.3758,10172
66,177,128,107.636,0.3649,10349
67,215,128,107.940,0.3517,10564
68,250,128,108.235,0.3364,10814
69,66,32,107.130,0.3323,10880
70,143,64,106.514,0.3236,11023
71,202,128,106.817,0.3112,11225
72,151,64,106.222,0.3019,11376
73,279,128,106.521,0.2848,11655
74,137,64,105.946,0.2764,11792
75,193,64,105.387,0.2645,11985
76,314,128,105.684,0.2453,12299
77,140,32,104.727,0.2367,12439
78,542,256,106.667,0.2034,12981
79,150,32,105.722,0.1942,13131
80,126,64,105.200,0.1865,13257
81,317,64,104.691,0.1670,13574
82,251,128,104.976,0.1516,13825
83,437,128,105.253,0.1248,14262
84,191,64,104.762,0.1131,14453
85,354,128,105.035,0.0913,14807
86,628,128,105.302,0.0528,15435
87,164,32,104.460,0.0500,15599
88,554,128,104.727,0.0500,16153
89,320,64,104.270,0.0500,16473
90,276,64,103.822,0.0500,16749
91,231,64,103.385,0.0500,16980
92,288,64,102.957,0.0500,17268
93,625,64,102.538,0.0500,17893
94,846,128,102.809,0.0500,18739
95,255,32,102.063,0.0500,18994
96,302,64,101.667,0.0500,19296
97,694,128,101.938,0.0500,19990
98,322,64,101.551,0.0500,20312
99,136,64,101.172,0.0500,20448
100,377,32,100.480,0.0500,20825
101,721,128,100.480,0.0500,21546
102,244,32,98.240,0.0500,21790
103,1087,256,99.520,0.0500,22877
104,421,64,98.880,0.0500,23298
105,504,64,98.880,0.0500,23802
106,257,64,99.200,0.0500,24059
107,378,32,98.240,0.0500,24437
108,624,64,98.240,0.0500,25061
109,286,32,97.280,0.0500,25347
110,786,64,97.280,0.0500,26133
111,40,8,94.800,0.0500,26173
112,678,128,94.800,0.0500,26851
113,371,64,94.800,0.0500,27222
114,999,128,94.800,0.0500,28221
115,565,128,95.440,0.0500,28786
116,1061,128,96.080,0.0500,29847
117,468,128,96.080,0.0500,30315
118,182,64,94.160,0.0500,30497
119,436,128,94.160,0.0500,30933
120,227,32,93.200,0.0500,31160
121,892,256,94.480,0.0500,32052
122,164,64,94.800,0.0500,32216
123,991,256,96.720,0.0500,33207
124,318,64,94.800,0.0500,33525
125,243,64,94.800,0.0500,33768
126,645,256,96.720,0.0500,34413
127,265,64,96.080,0.0500,34678
128,333,64,95.440,0.0500,35011
129,172,64,95.440,0.0500,35183
130,412,64,95.440,0.0500,35595
131,217,64,95.760,0.0500,35812
132,572,128,95.760,0.0500,36384
133,232,32,94.800,0.0500,36616
134,260,128,95.440,0.0500,36876
135,206,64,95.440,0.0500,37082
136,148,64,95.440,0.0500,37230
137,415,128,96.080,0.0500,37645
138,390,128,94.800,0.0500,38035
139,397,128,94.800,0.0500,38432
140,282,64,94.160,0.0500,38714
141,167,64,93.520,0.0500,38881
142,377,64,92.880,0.0500,39258
143,361,64,92.880,0.0500,39619
144,262,128,93.520,0.0500,39881
145,100,64,92.880,0.0500,39981
146,104,64,92.880,0.0500,40085
147,82,64,92.240,0.0500,40167
148,559,128,92.240,0.0500,40726
149,224,64,91.600,0.0500,40950
150,247,64,91.600,0.0500,41197
151,245,64,90.960,0.0500,41442
152,306,64,90.320,0.0500,41748
153,184,64,89.680,0.0500,41932
154,198,128,90.320,0.0500,42130
155,255,64,90.320,0.0500,42385
156,243,32,90.000,0.0500,42628
157,72,32,89.680,0.0500,42700
158,229,64,89.040,0.0500,42929
159,403,32,88.080,0.0500,43332
160,420,32,87.760,0.0500,43752
161,248,64,87.760,0.0500,44000
162,374,128,87.760,0.0500,44374
163,211,64,88.080,0.0500,44585
164,377,128,88.080,0.0500,44962
165,243,128,88.080,0.0500,45205
166,227,64,87.440,0.0500,45432
167,127,32,86.480,0.0500,45559
168,234,32,85.520,0.0500,45793
169,220,32,85.520,0.0500,46013
170,70,32,85.200,0.0500,46083
171,447,128,85.200,0.0500,46530
172,142,32,84.880,0.0500,46672
173,357,128,84.880,0.0500,47029
174,222,64,84.880,0.0500,47251
175,95,32,84.560,0.0500,47346
176,275,64,83.920,0.0500,47621
177,212,32,83.920,0.0500,47833
178,718,128,82.640,0.0500,48551
179,210,128,83.600,0.0500,48761
180,113,64,83.600,0.0500,48874
181,209,128,84.240,0.0500,49083
182,264,128,84.240,0.0500,49347
183,318,128,84.240,0.0500,49665
184,56,32,83.920,0.0500,49721
185,437,128,83.920,0.0500,50158
186,141,128,83.920,0.0500,50299
187,50,32,83.920,0.0500,50349
188,284,128,83.920,0.0500,50633
189,194,64,83.920,0.0500,50827
190,173,64,83.920,0.0500,51000
191,182,32,83.600,0.0500,51182
192,159,64,83.600,0.0500,51341
193,92,32,83.280,0.0500,51433
194,162,128,83.280,0.0500,51595
195,106,64,83.600,0.0500,51701
196,258,128,84.240,0.0500,51959
197,243,256,85.520,0.0500,52202
198,247,128,86.160,0.0500,52449
199,231,128,86.800,0.0500,52680
200,179,32,86.800,0.0500,52859
201,284,64,86.160,0.0500,53143
202,124,64,86.480,0.0500,53267
203,358,128,85.200,0.0500,53625
204,502,128,85.840,0.0500,54127
205,178,64,85.840,0.0500,54305
206,86,64,85.840,0.0500,54391
207,182,128,86.800,0.0500,54573
208,210,64,86.800,0.0500,54783
209,73,64,87.120,0.0500,54856
210,140,64,87.120,0.0500,54996
211,126,128,88.320,0.0500,55122
212,610,128,88.320,0.0500,55732
213,138,64,88.320,0.0500,55870
214,157,64,87.680,0.0500,56027
215,149,128,87.680,0.0500,56176
216,235,128,87.680,0.0500,56411
217,162,128,87.680,0.0500,56573
218,47,32,87.360,0.0500,56620
219,189,32,86.400,0.0500,56809
220,187,64,86.720,0.0500,56996
221,242,128,85.440,0.0500,57238
222,330,64,85.440,0.0500,57568
223,101,64,83.520,0.0500,57669
224,115,128,84.160,0.0500,57784
225,85,64,84.160,0.0500,57869
226,288,64,82.240,0.0500,58157
227,156,128,82.880,0.0500,58313
228,197,128,83.520,0.0500,58510
229,74,64,83.520,0.0500,58584
230,81,64,83.520,0.0500,58665
231,105,64,83.520,0.0500,58770
232,116,64,82.880,0.0500,58886
233,188,128,83.840,0.0500,59074
234,214,128,83.840,0.0500,59288
235,158,128,84.480,0.0500,59446
236,215,256,86.400,0.0500,59661
237,245,128,86.400,0.0500,59906
238,356,256,87.680,0.0500,60262
239,246,64,87.040,0.0500,60508
240,61,32,86.720,0.0500,60569
241,364,128,87.360,0.0500,60933
242,542,64,87.360,0.0500,61475
243,108,32,87.040,0.0500,61583
244,315,256,88.320,0.0500,61898
245,102,64,88.320,0.0500,62000
246,74,64,88.320,0.0500,62074
247,355,128,88.960,0.0500,62429
248,94,64,88.320,0.0500,62523
249,256,128,88.960,0.0500,62779
250,140,64,88.960,0.0500,62919
251,237,64,88.960,0.0500,63156
252,73,64,88.960,0.0500,63229
253,122,128,89.600,0.0500,63351
254,220,128,89.600,0.0500,63571
255,220,128,90.240,0.0500,63791
256,150,64,90.560,0.0500,63941
257,569,128,91.520,0.0500,64510
258,262,128,92.160,0.0500,64772
259,138,128,93.120,0.0500,64910
260,125,128,94.080,0.0500,65035
261,278,256,96.000,0.0500,65313
262,145,128,96.000,0.0500,65458
263,122,64,96.000,0.0500,65580
264,171,128,96.000,0.0500,65751
265,269,128,96.000,0.0500,66020
266,178,128,96.640,0.0500,66198
267,354,128,97.600,0.0500,66552
268,203,64,97.920,0.0500,66755
269,212,128,98.880,0.0500,66967
270,112,128,99.840,0.0500,67079
271,146,32,98.880,0.0500,67225
272,110,128,99.840,0.0500,67335
273,123,128,99.840,0.0500,67458
274,495,256,101.760,0.0500,67953
275,174,256,104.000,0.0500,68127
276,153,128,104.640,0.0500,68280
277,106,64,104.960,0.0500,68386
278,281,128,104.960,0.0500,68667
279,114,128,104.960,0.0500,68781
280,162,128,105.600,0.0500,68943
281,226,128,105.600,0.0500,69169
282,80,64,104.960,0.0500,69249
283,162,128,104.960,0.0500,69411
284,145,128,105.920,0.0500,69556
285,192,128,105.920,0.0500,69748
286,287,128,105.920,0.0500,70035
287,225,256,108.160,0.0500,70260
288,296,256,109.440,0.0500,70556
289,112,128,110.080,0.0500,70668
290,260,128,110.720,0.0500,70928
291,146,64,111.040,0.0500,71074
292,281,128,111.680,0.0500,71355
293,218,64,112.000,0.0500,71573
294,126,64,111.360,0.0500,71699
295,91,64,111.360,0.0500,71790
296,131,128,111.360,0.0500,71921
297,66,64,109.440,0.0500,71987
298,130,64,108.800,0.0500,72117
