episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,111,64,64.000,0.9961,111
2,70,32,48.000,0.9936,181
3,140,128,74.667,0.9886,321
4,164,128,88.000,0.9828,485
5,108,64,83.200,0.9789,593
6,118,64,80.000,0.9748,711
7,121,128,86.857,0.9705,832
8,179,128,92.000,0.9641,1011
9,163,128,96.000,0.9583,1174
10,115,64,92.800,0.9542,1289
11,91,64,90.182,0.9510,1380
12,107,64,88.000,0.9472,1487
13,115,64,86.154,0.9431,1602
14,160,128,89.143,0.9374,1762
15,170,128,91.733,0.9314,1932
16,156,128,94.000,0.9259,2088
17,90,64,92.235,0.9227,2178
18,139,64,90.667,0.9177,2317
19,74,32,87.579,0.9151,2391
20,274,256,96.000,0.9054,2665
21,243,256,103.619,0.8967,2908
22,167,128,104.727,0.8908,3075
23,64,32,101.565,0.8885,3139
24,183,128,102.667,0.8820,3322
25,117,64,101.120,0.8779,3439
26,119,128,102.154,0.8737,3558
27,143,128,103.111,0.8686,3701
28,102,64,101.714,0.8650,3803
29,108,64,100.414,0.8611,3911
30,155,128,101.333,0.8556,4066
31,163,128,102.194,0.8498,4229
32,156,128,103.000,0.8443,4385
33,184,128,103.758,0.8378,4569
34,155,64,102.588,0.8322,4724
35,168,128,103.314,0.8263,4892
36,204,128,104.000,0.8190,5096
37,123,128,104.649,0.8147,5219
38,163,128,105.263,0.8089,5382
39,119,128,105.846,0.8047,5501
40,177,128,106.400,0.7984,5678
41,245,256,110.049,0.7897,5923
42,119,64,108.952,0.7854,6042
43,93,64,107.907,0.7821,6135
44,242,128,108.364,0.7735,6377
45,139,128,108.800,0.7686,6516
46,262,256,112.000,0.7593,6778
47,155,128,112.340,0.7538,6933
48,159,128,112.667,0.7482,7092
49,93,64,111.673,0.7449,7185
50,311,256,114.560,0.7338,7496
51,92,64,113.569,0.7305,7588
52,164,128,113.846,0.7247,7752
53,183,128,114.113,0.7182,7935
54,143,128,114.370,0.7131,8078
55,69,32,112.873,0.7107,8147
56,115,64,112.000,0.7066,8262
57,203,128,112.281,0.6994,8465
58,136,128,112.552,0.6946,8601
59,146,64,111.729,0.6894,8747
60,91,64,110.933,0.6862,8838
61,175,128,111.213,0.6799,9013
62,92,64,110.452,0.6767,9105
63,121,128,110.730,0.6724,9226
64,120,64,110.000,0.6681,9346
65,184,128,110.277,0.6616,9530
66,159,128,110.545,0.6559,9689
67,83,32,109.373,0.6530,9772
68,137,128,109.647,0.6481,9909
69,156,128,109.913,0.6426,10065
70,91,64,109.257,0.6394,10156
71,162,128,109.521,0.6336,10318
72,146,128,109.778,0.6284,10464
73,124,64,109.151,0.6240,10588
74,129,128,109.405,0.6194,10717
75,120,64,108.800,0.6152,10837
