episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,91,64,64.000,0.9989,91
2,141,128,96.000,0.9972,232
3,123,64,85.333,0.9957,355
4,102,64,80.000,0.9945,457
5,126,64,76.800,0.9929,583
6,168,128,85.333,0.9909,751
7,152,128,91.429,0.9891,903
8,138,128,96.000,0.9874,1041
9,160,128,99.556,0.9855,1201
10,199,128,102.400,0.9830,1400
11,189,128,104.727,0.9808,1589
12,63,32,98.667,0.9800,1652
13,183,128,100.923,0.9778,1835
14,72,32,96.000,0.9769,1907
15,86,64,93.867,0.9759,1993
16,179,128,96.000,0.9737,2172
17,137,64,94.118,0.9720,2309
18,125,128,96.000,0.9705,2434
19,145,128,97.684,0.9688,2579
20,97,64,96.000,0.9676,2676
21,133,128,97.524,0.9660,2809
22,50,16,93.818,0.9654,2859
23,104,64,92.522,0.9641,2963
24,127,128,94.000,0.9626,3090
25,206,256,100.480,0.9601,3296
26,130,128,101.538,0.9585,3426
27,148,128,102.519,0.9567,3574
28,173,128,103.429,0.9546,3747
29,101,64,102.069,0.9534,3848
30,104,64,100.800,0.9521,3952
31,97,64,99.613,0.9510,4049
32,125,64,98.500,0.9495,4174
33,156,128,99.394,0.9476,4330
34,128,128,100.235,0.9460,4458
35,173,128,101.029,0.9439,4631
36,88,64,100.000,0.9429,4719
37,126,64,99.027,0.9413,4845
38,247,256,103.158,0.9383,5092
39,135,128,103.795,0.9367,5227
40,114,64,102.800,0.9353,5341
41,132,128,103.415,0.9337,5473
42,172,128,104.000,0.9316,5645
43,66,32,102.326,0.9308,5711
44,123,128,102.909,0.9294,5834
45,145,128,103.467,0.9276,5979
46,130,128,104.000,0.9260,6109
47,102,64,103.149,0.9248,6211
48,120,128,103.667,0.9233,6331
49,122,64,102.857,0.9219,6453
50,111,64,102.080,0.9205,6564
51,81,64,101.333,0.9195,6645
52,185,128,101.846,0.9173,6830
53,196,128,102.340,0.9149,7026
54,166,128,102.815,0.9129,7192
55,165,128,103.273,0.9109,7357
56,149,64,102.571,0.9091,7506
57,169,128,103.018,0.9071,7675
58,180,128,103.448,0.9049,7855
59,89,64,102.780,0.9038,7944
60,193,128,103.200,0.9015,8137
61,185,128,103.607,0.8992,8322
62,103,64,102.968,0.8980,8425
63,138,128,103.365,0.8963,8563
64,128,128,103.750,0.8948,8691
65,256,256,106.092,0.8917,8947
66,184,128,106.424,0.8894,9131
67,60,32,105.313,0.8887,9191
68,59,32,104.235,0.8880,9250
69,163,128,104.580,0.8860,9413
70,109,64,104.000,0.8847,9522
71,161,128,104.338,0.8828,9683
72,88,64,103.778,0.8817,9771
73,102,64,103.233,0.8805,9873
74,230,256,105.297,0.8777,10103
75,171,128,105.600,0.8756,10274
76,179,128,105.895,0.8734,10453
77,135,128,106.182,0.8718,10588
78,99,64,105.641,0.8706,10687
79,153,128,105.924,0.8687,10840
80,136,64,105.400,0.8671,10976
81,146,128,105.679,0.8653,11122
82,110,64,105.171,0.8640,11232
83,168,128,105.446,0.8620,11400
84,145,128,105.714,0.8602,11545
85,99,64,105.224,0.8590,11644
86,121,64,104.744,0.8575,11765
87,89,64,104.276,0.8565,11854
88,223,256,106.000,0.8538,12077
89,84,64,105.528,0.8528,12161
90,213,256,107.200,0.8502,12374
91,84,64,106.725,0.8492,12458
92,97,64,106.261,0.8480,12555
93,87,64,105.806,0.8469,12642
94,107,64,105.362,0.8456,12749
95,224,256,106.947,0.8429,12973
96,139,128,107.167,0.8412,13112
97,168,128,107.381,0.8392,13280
98,77,32,106.612,0.8383,13357
99,120,64,106.182,0.8368,13477
100,89,64,105.760,0.8357,13566
101,119,64,105.760,0.8343,13685
102,150,128,105.760,0.8325,13835
103,307,256,107.680,0.8288,14142
104,157,128,108.320,0.8269,14299
105,151,128,108.960,0.8250,14450
106,71,32,108.000,0.8242,14521
107,158,128,108.000,0.8223,14679
108,199,128,108.000,0.8199,14878
109,129,64,107.360,0.8183,15007
110,181,128,107.360,0.8161,15188
111,101,64,106.720,0.8149,15289
112,182,128,107.680,0.8127,15471
113,120,128,107.680,0.8112,15591
114,113,64,108.000,0.8099,15704
115,131,128,108.640,0.8083,15835
116,104,64,108.000,0.8070,15939
117,164,128,108.640,0.8050,16103
118,180,128,108.640,0.8028,16283
119,187,256,109.920,0.8006,16470
120,138,128,110.560,0.7989,16608
121,99,64,109.920,0.7977,16707
122,249,256,112.320,0.7947,16956
123,165,128,112.960,0.7927,17121
124,87,64,112.320,0.7916,17208
125,137,128,111.040,0.7900,17345
126,101,64,110.400,0.7888,17446
127,218,128,110.400,0.7861,17664
128,95,64,109.760,0.7850,17759
129,109,128,110.400,0.7836,17868
130,125,64,110.400,0.7821,17993
131,166,128,111.040,0.7801,18159
132,159,128,111.680,0.7782,18318
133,77,64,111.040,0.7773,18395
134,106,64,110.400,0.7760,18501
135,102,64,109.760,0.7748,18603
136,128,128,110.400,0.7732,18731
137,177,128,111.040,0.7711,18908
138,128,128,109.760,0.7695,19036
139,154,128,109.760,0.7676,19190
140,110,64,109.760,0.7663,19300
141,249,256,111.040,0.7633,19549
142,143,128,111.040,0.7616,19692
143,188,128,112.000,0.7593,19880
144,161,128,112.000,0.7573,20041
145,181,128,112.000,0.7551,20222
146,150,128,112.000,0.7533,20372
147,70,32,111.680,0.7525,20442
148,110,64,111.040,0.7512,20552
149,118,128,111.680,0.7497,20670
150,112,64,111.680,0.7484,20782
151,178,128,112.320,0.7462,20960
152,73,32,111.360,0.7453,21033
153,128,64,110.720,0.7438,21161
154,159,128,110.720,0.7419,21320
155,135,64,110.080,0.7402,21455
156,131,128,110.720,0.7386,21586
157,178,128,110.720,0.7365,21764
158,86,32,109.760,0.7354,21850
159,103,64,109.760,0.7342,21953
160,210,256,111.040,0.7316,22163
161,191,128,111.040,0.7293,22354
162,186,128,111.680,0.7271,22540
163,98,64,111.040,0.7259,22638
164,171,128,111.040,0.7238,22809
165,170,64,109.120,0.7218,22979
166,145,128,109.120,0.7200,23124
167,260,256,111.360,0.7169,23384
168,72,32,111.360,0.7160,23456
169,143,128,111.360,0.7143,23599
170,128,128,112.000,0.7127,23727
171,135,64,111.360,0.7111,23862
172,95,64,111.360,0.7099,23957
173,158,128,112.000,0.7080,24115
174,228,128,110.720,0.7052,24343
175,98,64,110.080,0.7041,24441
176,79,32,109.120,0.7031,24520
177,131,128,109.120,0.7015,24651
178,109,64,109.120,0.7002,24760
179,106,64,108.480,0.6989,24866
180,108,64,108.480,0.6976,24974
181,122,128,108.480,0.6961,25096
182,118,64,108.480,0.6947,25214
183,154,128,108.480,0.6928,25368
184,153,128,108.480,0.6910,25521
185,174,128,109.120,0.6889,25695
186,158,128,109.760,0.6870,25853
187,139,128,110.400,0.6853,25992
188,96,64,108.480,0.6841,26088
189,83,64,108.480,0.6831,26171
190,182,128,107.200,0.6809,26353
191,120,64,107.200,0.6795,26473
192,149,128,107.840,0.6777,26622
193,203,256,109.760,0.6752,26825
