episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,257,256,256.000,0.9935,257
2,123,64,160.000,0.9904,380
3,93,32,117.333,0.9881,473
4,101,64,104.000,0.9855,574
5,150,128,108.800,0.9818,724
6,104,64,101.333,0.9792,828
7,80,32,91.429,0.9771,908
8,253,256,112.000,0.9708,1161
9,97,64,106.667,0.9683,1258
10,110,64,102.400,0.9656,1368
11,139,128,104.727,0.9621,1507
12,112,64,101.333,0.9592,1619
13,142,128,103.385,0.9557,1761
14,77,64,100.571,0.9537,1838
15,72,32,96.000,0.9519,1910
16,113,64,94.000,0.9491,2023
17,169,128,96.000,0.9448,2192
18,79,64,94.222,0.9428,2271
19,99,64,92.632,0.9403,2370
20,268,256,100.800,0.9336,2638
21,82,64,99.048,0.9315,2720
22,189,128,100.364,0.9268,2909
23,124,64,98.783,0.9236,3033
24,103,64,97.333,0.9210,3136
25,175,128,98.560,0.9166,3311
26,159,128,99.692,0.9126,3470
27,216,256,105.481,0.9072,3686
28,146,64,104.000,0.9035,3832
29,281,256,109.241,0.8964,4113
30,130,64,107.733,0.8932,4243
31,137,64,106.323,0.8897,4380
32,114,128,107.000,0.8868,4494
33,98,64,105.697,0.8844,4592
34,144,128,106.353,0.8807,4736
35,121,64,105.143,0.8777,4857
36,118,64,104.000,0.8747,4975
37,105,64,102.919,0.8721,5080
38,161,128,103.579,0.8680,5241
39,128,64,102.564,0.8648,5369
40,163,128,103.200,0.8607,5532
41,137,128,103.805,0.8573,5669
42,141,128,104.381,0.8537,5810
43,118,64,103.442,0.8507,5928
44,72,64,102.545,0.8489,6000
45,88,64,101.689,0.8467,6088
46,104,64,100.870,0.8441,6192
47,156,128,101.447,0.8402,6348
48,188,128,102.000,0.8354,6536
49,128,128,102.531,0.8322,6664
50,148,128,103.040,0.8285,6812
51,177,128,103.529,0.8240,6989
52,108,64,102.769,0.8213,7097
53,153,128,103.245,0.8174,7250
54,97,64,102.519,0.8150,7347
55,171,128,102.982,0.8107,7518
56,141,128,103.429,0.8071,7659
57,161,128,103.860,0.8031,7820
58,159,128,104.276,0.7991,7979
59,268,256,106.847,0.7923,8247
60,94,64,106.133,0.7900,8341
61,85,64,105.443,0.7878,8426
62,116,128,105.806,0.7849,8542
63,193,128,106.159,0.7801,8735
64,163,128,106.500,0.7759,8898
65,130,64,105.846,0.7727,9028
66,141,128,106.182,0.7691,9169
67,186,128,106.507,0.7644,9355
68,134,128,106.824,0.7611,9489
69,129,64,106.203,0.7578,9618
70,125,128,106.514,0.7547,9743
71,131,64,105.915,0.7514,9874
72,211,128,106.222,0.7461,10085
73,142,128,106.521,0.7425,10227
74,132,128,106.811,0.7392,10359
75,134,64,106.240,0.7358,10493
76,153,128,106.526,0.7319,10646
77,106,64,105.974,0.7293,10752
78,155,128,106.256,0.7254,10907
79,142,64,105.722,0.7218,11049
80,124,128,106.000,0.7187,11173
81,140,64,105.481,0.7151,11313
82,157,128,105.756,0.7112,11470
83,109,64,105.253,0.7084,11579
84,142,128,105.524,0.7049,11721
85,177,128,105.788,0.7004,11898
86,119,64,105.302,0.6974,12017
87,138,64,104.828,0.6939,12155
88,88,64,104.364,0.6917,12243
89,74,32,103.551,0.6899,12317
90,151,128,103.822,0.6861,12468
91,171,128,104.088,0.6817,12639
92,129,64,103.652,0.6785,12768
93,82,32,102.882,0.6764,12850
94,152,64,102.468,0.6726,13002
95,186,128,102.737,0.6679,13188
96,132,64,102.333,0.6646,13320
97,206,128,102.598,0.6594,13526
98,67,32,101.878,0.6577,13593
99,99,64,101.495,0.6552,13692
100,169,128,101.760,0.6510,13861
101,207,128,100.480,0.6458,14068
102,213,128,101.120,0.6404,14281
103,121,64,101.440,0.6374,14402
104,87,32,101.120,0.6352,14489
105,94,64,100.480,0.6328,14583
106,238,256,102.400,0.6268,14821
107,229,256,104.640,0.6210,15050
108,99,32,102.400,0.6185,15149
109,120,64,102.400,0.6155,15269
110,145,128,103.040,0.6119,15414
111,215,128,103.040,0.6065,15629
112,191,128,103.680,0.6017,15820
113,111,64,103.040,0.5989,15931
114,178,128,103.680,0.5944,16109
115,106,64,104.000,0.5917,16215
116,163,128,104.640,0.5876,16378
117,163,128,104.640,0.5835,16541
118,83,64,104.640,0.5814,16624
119,47,32,104.320,0.5802,16671
120,367,256,104.320,0.5710,17038
121,170,128,104.960,0.5667,17208
122,201,128,104.960,0.5616,17409
123,185,128,105.600,0.5570,17594
124,151,64,105.600,0.5532,17745
125,100,64,104.960,0.5507,17845
126,262,128,104.960,0.5441,18107
127,149,64,103.040,0.5403,18256
128,71,32,102.720,0.5385,18327
129,143,64,100.800,0.5349,18470
130,106,64,100.800,0.5323,18576
131,151,128,101.440,0.5285,18727
132,83,64,100.800,0.5264,18810
133,179,128,101.440,0.5219,18989
134,189,128,101.440,0.5171,19178
135,160,128,102.080,0.5131,19338
136,230,128,102.720,0.5073,19568
137,107,64,102.720,0.5046,19675
138,216,128,102.720,0.4991,19891
139,187,128,103.360,0.4944,20078
140,124,64,102.720,0.4913,20202
141,206,128,102.720,0.4861,20408
142,94,64,102.080,0.4838,20502
143,148,64,102.080,0.4800,20650
144,67,32,101.760,0.4783,20717
145,172,64,101.760,0.4740,20889
146,116,64,101.760,0.4711,21005
147,177,128,101.760,0.4666,21182
148,159,128,101.760,0.4626,21341
149,137,128,101.760,0.4592,21478
150,190,128,101.760,0.4544,21668
151,305,256,103.040,0.4467,21973
152,170,64,103.040,0.4424,22143
153,191,64,102.400,0.4376,22334
154,98,64,102.400,0.4352,22432
155,124,64,101.760,0.4320,22556
156,69,32,100.800,0.4303,22625
157,101,64,100.160,0.4278,22726
158,128,64,99.520,0.4245,22854
159,103,32,97.280,0.4219,22957
160,73,32,96.960,0.4201,23030
161,121,64,96.960,0.4171,23151
162,228,128,96.960,0.4113,23379
163,224,128,96.960,0.4057,23603
164,173,128,96.960,0.4013,23776
165,200,128,97.600,0.3963,23976
166,142,128,97.600,0.3927,24118
167,85,32,96.640,0.3906,24203
168,68,32,95.680,0.3889,24271
169,92,64,95.680,0.3865,24363
170,221,128,95.680,0.3810,24584
171,284,128,96.320,0.3738,24868
172,145,64,95.680,0.3702,25013
173,101,64,95.040,0.3676,25114
174,192,64,94.400,0.3628,25306
175,167,64,94.400,0.3586,25473
176,190,64,93.760,0.3538,25663
177,282,128,94.400,0.3467,25945
178,311,128,94.400,0.3389,26256
179,206,64,94.400,0.3337,26462
180,281,256,95.680,0.3266,26743
181,150,64,95.680,0.3228,26893
182,68,32,94.720,0.3211,26961
183,194,64,94.720,0.3162,27155
184,222,128,94.720,0.3106,27377
185,113,64,94.080,0.3078,27490
186,189,128,94.720,0.3030,27679
187,229,128,95.360,0.2973,27908
188,287,128,96.000,0.2900,28195
189,141,64,96.320,0.2865,28336
190,206,64,95.680,0.2813,28542
191,200,128,95.680,0.2763,28742
192,143,64,95.680,0.2727,28885
