episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,147,64,64.000,0.9981,147
2,133,128,96.000,0.9963,280
3,157,128,106.667,0.9942,437
4,147,128,112.000,0.9923,584
5,133,64,102.400,0.9906,717
6,163,128,106.667,0.9884,880
7,99,64,100.571,0.9871,979
8,82,32,92.000,0.9860,1061
9,97,64,88.889,0.9847,1158
10,112,64,86.400,0.9833,1270
11,142,128,90.182,0.9814,1412
12,183,128,93.333,0.9790,1595
13,156,128,96.000,0.9769,1751
14,157,128,98.286,0.9749,1908
15,115,64,96.000,0.9734,2023
16,155,128,98.000,0.9713,2178
17,174,128,99.765,0.9690,2352
18,144,64,97.778,0.9671,2496
19,137,128,99.368,0.9653,2633
20,80,64,97.600,0.9643,2713
21,59,32,94.476,0.9635,2772
22,154,128,96.000,0.9615,2926
23,241,256,102.957,0.9583,3167
24,96,64,101.333,0.9570,3263
25,150,128,102.400,0.9550,3413
26,130,64,100.923,0.9533,3543
27,197,128,101.926,0.9507,3740
28,239,256,107.429,0.9476,3979
29,156,128,108.138,0.9455,4135
30,196,128,108.800,0.9430,4331
31,119,64,107.355,0.9414,4450
32,78,64,106.000,0.9404,4528
33,68,32,103.758,0.9395,4596
34,153,128,104.471,0.9374,4749
35,178,128,105.143,0.9351,4927
36,256,256,109.333,0.9317,5183
37,76,32,107.243,0.9307,5259
38,116,64,106.105,0.9292,5375
39,97,32,104.205,0.9279,5472
40,154,128,104.800,0.9259,5626
41,221,128,105.366,0.9230,5847
42,155,128,105.905,0.9209,6002
43,141,128,106.419,0.9191,6143
44,99,64,105.455,0.9178,6242
45,92,32,103.822,0.9166,6334
46,157,128,104.348,0.9145,6491
47,135,128,104.851,0.9127,6626
48,269,256,108.000,0.9092,6895
49,139,64,107.102,0.9073,7034
50,148,128,107.520,0.9054,7182
51,89,64,106.667,0.9042,7271
52,98,64,105.846,0.9029,7369
53,266,256,108.679,0.8994,7635
54,159,128,109.037,0.8973,7794
55,179,128,109.382,0.8950,7973
56,243,256,112.000,0.8918,8216
