episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,191,128,128.000,0.9812,191
2,138,128,128.000,0.9676,329
3,94,64,106.667,0.9584,423
4,131,64,96.000,0.9455,554
5,177,128,102.400,0.9281,731
6,190,128,106.667,0.9094,921
7,122,64,100.571,0.8974,1043
8,138,128,104.000,0.8838,1181
9,100,64,99.556,0.8739,1281
10,175,128,102.400,0.8567,1456
11,208,128,104.727,0.8362,1664
12,146,64,101.333,0.8219,1810
13,143,64,98.462,0.8078,1953
14,159,128,100.571,0.7922,2112
15,99,64,98.133,0.7824,2211
16,105,64,96.000,0.7721,2316
17,99,64,94.118,0.7623,2415
18,80,64,92.444,0.7545,2495
19,74,32,89.263,0.7472,2569
20,100,64,88.000,0.7373,2669
21,155,128,89.905,0.7221,2824
22,128,128,91.636,0.7095,2952
23,219,256,98.783,0.6879,3171
24,198,128,100.000,0.6685,3369
25,101,64,98.560,0.6585,3470
26,91,64,97.231,0.6496,3561
27,179,128,98.370,0.6319,3740
28,180,128,99.429,0.6142,3920
29,71,64,98.207,0.6072,3991
30,151,128,99.200,0.5924,4142
31,141,128,100.129,0.5785,4283
32,127,64,99.000,0.5660,4410
33,234,256,103.758,0.5430,4644
34,101,64,102.588,0.5330,4745
35,154,128,103.314,0.5179,4899
36,159,128,104.000,0.5022,5058
37,168,128,104.649,0.4857,5226
38,121,128,105.263,0.4738,5347
39,247,128,105.846,0.4495,5594
40,71,32,104.000,0.4425,5665
41,79,32,102.244,0.4347,5744
42,341,256,105.905,0.4012,6085
43,142,128,106.419,0.3872,6227
44,116,128,106.909,0.3758,6343
45,65,32,105.244,0.3694,6408
46,95,64,104.348,0.3600,6503
47,276,256,107.574,0.3329,6779
48,180,128,108.000,0.3152,6959
49,150,64,107.102,0.3004,7109
50,115,64,106.240,0.2891,7224
51,149,64,105.412,0.2744,7373
52,208,128,105.846,0.2539,7581
53,122,128,106.264,0.2419,7703
54,123,64,105.481,0.2298,7826
55,102,64,104.727,0.2198,7928
56,244,128,105.143,0.1958,8172
57,234,128,105.544,0.1728,8406
58,86,32,104.276,0.1643,8492
59,201,32,103.051,0.1445,8693
60,84,64,102.400,0.1363,8777
61,168,64,101.770,0.1197,8945
62,167,64,101.161,0.1033,9112
63,306,64,100.571,0.0732,9418
64,263,128,101.000,0.0500,9681
65,257,128,101.415,0.0500,9938
66,477,128,101.818,0.0500,10415
67,202,128,102.209,0.0500,10617
68,287,128,102.588,0.0500,10904
69,201,128,102.957,0.0500,11105
70,414,128,103.314,0.0500,11519
71,287,128,103.662,0.0500,11806
72,247,128,104.000,0.0500,12053
73,385,128,104.329,0.0500,12438
74,397,128,104.649,0.0500,12835
75,257,128,104.960,0.0500,13092
76,332,128,105.263,0.0500,13424
77,67,32,104.312,0.0500,13491
78,209,64,103.795,0.0500,13700
79,597,128,104.101,0.0500,14297
80,368,64,103.600,0.0500,14665
81,259,64,103.111,0.0500,14924
82,340,128,103.415,0.0500,15264
83,356,128,103.711,0.0500,15620
84,304,128,104.000,0.0500,15924
85,377,64,103.529,0.0500,16301
86,290,256,105.302,0.0500,16591
87,228,64,104.828,0.0500,16819
88,83,64,104.364,0.0500,16902
89,498,128,104.629,0.0500,17400
90,211,128,104.889,0.0500,17611
