episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,114,64,64.000,0.9972,114
2,151,128,96.000,0.9935,265
3,182,128,106.667,0.9890,447
4,181,128,112.000,0.9845,628
5,135,128,115.200,0.9812,763
6,100,64,106.667,0.9787,863
7,97,64,100.571,0.9763,960
8,107,64,96.000,0.9737,1067
9,184,128,99.556,0.9692,1251
10,209,128,102.400,0.9640,1460
11,115,64,98.909,0.9612,1575
12,203,256,112.000,0.9562,1778
13,119,128,113.231,0.9532,1897
14,133,64,109.714,0.9500,2030
15,98,64,106.667,0.9475,2128
16,271,256,116.000,0.9409,2399
17,64,32,111.059,0.9393,2463
18,74,64,108.444,0.9375,2537
19,173,128,109.474,0.9332,2710
20,245,256,116.800,0.9272,2955
21,137,64,114.286,0.9238,3092
22,168,128,114.909,0.9196,3260
23,209,128,115.478,0.9145,3469
24,90,64,113.333,0.9123,3559
25,156,128,113.920,0.9084,3715
26,112,64,112.000,0.9057,3827
27,93,32,109.037,0.9034,3920
28,81,64,107.429,0.9014,4001
29,75,32,104.828,0.8995,4076
30,183,128,105.600,0.8950,4259
31,208,128,106.323,0.8899,4467
32,189,256,111.000,0.8852,4656
33,143,128,111.515,0.8817,4799
34,177,64,110.118,0.8773,4976
35,101,64,108.800,0.8748,5077
36,116,64,107.556,0.8720,5193
37,198,128,108.108,0.8671,5391
38,112,64,106.947,0.8643,5503
39,168,128,107.487,0.8602,5671
40,225,256,111.200,0.8547,5896
41,81,32,109.268,0.8527,5977
42,154,128,109.714,0.8489,6131
43,160,128,110.140,0.8449,6291
44,79,64,109.091,0.8430,6370
45,104,64,108.089,0.8404,6474
46,106,128,108.522,0.8378,6580
47,108,64,107.574,0.8351,6688
48,245,128,108.000,0.8291,6933
49,170,128,108.408,0.8249,7103
50,58,32,106.880,0.8235,7161
51,126,64,106.039,0.8204,7287
52,169,128,106.462,0.8162,7456
53,235,256,109.283,0.8104,7691
54,184,128,109.630,0.8059,7875
55,126,128,109.964,0.8028,8001
56,114,64,109.143,0.8000,8115
57,97,64,108.351,0.7976,8212
58,140,128,108.690,0.7941,8352
59,141,128,109.017,0.7906,8493
60,164,128,109.333,0.7866,8657
61,170,128,109.639,0.7824,8827
62,140,64,108.903,0.7790,8967
63,124,64,108.190,0.7759,9091
64,119,128,108.500,0.7730,9210
65,172,128,108.800,0.7687,9382
