episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,166,128,128.000,0.9995,166
2,137,64,96.000,0.9991,303
3,136,64,85.333,0.9987,439
4,132,64,80.000,0.9983,571
5,63,32,70.400,0.9981,634
6,157,128,80.000,0.9977,791
7,155,128,86.857,0.9972,946
8,69,32,80.000,0.9970,1015
9,70,64,78.222,0.9968,1085
10,57,32,73.600,0.9967,1142
11,301,256,90.182,0.9958,1443
12,228,128,93.333,0.9951,1671
13,177,128,96.000,0.9946,1848
14,143,128,98.286,0.9942,1991
15,143,128,100.267,0.9938,2134
16,115,128,102.000,0.9934,2249
17,150,128,103.529,0.9930,2399
18,216,256,112.000,0.9923,2615
19,64,32,107.789,0.9922,2679
20,157,64,105.600,0.9917,2836
21,88,64,103.619,0.9914,2924
22,122,128,104.727,0.9911,3046
23,116,64,102.957,0.9907,3162
24,102,64,101.333,0.9904,3264
25,93,64,99.840,0.9902,3357
26,124,128,100.923,0.9898,3481
27,117,64,99.556,0.9895,3598
28,136,128,100.571,0.9891,3734
29,164,128,101.517,0.9886,3898
30,132,128,102.400,0.9882,4030
31,68,32,100.129,0.9880,4098
32,85,64,99.000,0.9878,4183
33,214,128,99.879,0.9871,4397
34,49,32,97.882,0.9870,4446
35,334,256,102.400,0.9860,4780
36,123,128,103.111,0.9857,4903
37,92,64,102.054,0.9854,4995
38,146,64,101.053,0.9850,5141
39,202,128,101.744,0.9844,5343
40,159,128,102.400,0.9839,5502
41,148,128,103.024,0.9835,5650
42,243,256,106.667,0.9828,5893
43,144,128,107.163,0.9823,6037
44,116,64,106.182,0.9820,6153
45,66,32,104.533,0.9818,6219
46,77,32,102.957,0.9816,6296
47,202,128,103.489,0.9810,6498
48,88,64,102.667,0.9807,6586
49,153,128,103.184,0.9803,6739
50,167,128,103.680,0.9798,6906
51,68,32,102.275,0.9796,6974
52,80,64,101.538,0.9794,7054
53,283,256,104.453,0.9785,7337
54,160,128,104.889,0.9781,7497
55,130,128,105.309,0.9777,7627
56,161,128,105.714,0.9772,7788
57,212,256,108.351,0.9766,8000
58,107,64,107.586,0.9763,8107
59,255,256,110.102,0.9755,8362
60,101,64,109.333,0.9752,8463
61,127,128,109.639,0.9749,8590
62,131,128,109.935,0.9745,8721
63,226,256,112.254,0.9738,8947
64,170,128,112.500,0.9733,9117
65,58,32,111.262,0.9732,9175
66,181,128,111.515,0.9726,9356
67,146,64,110.806,0.9722,9502
68,141,128,111.059,0.9718,9643
69,169,128,111.304,0.9713,9812
70,173,128,111.543,0.9708,9985
71,152,128,111.775,0.9703,10137
72,56,32,110.667,0.9702,10193
73,175,128,110.904,0.9697,10368
74,146,128,111.135,0.9692,10514
75,87,64,110.507,0.9690,10601
76,166,128,110.737,0.9685,10767
77,109,64,110.130,0.9682,10876
78,124,64,109.538,0.9678,11000
79,193,128,109.772,0.9672,11193
80,132,128,110.000,0.9669,11325
81,106,64,109.432,0.9666,11431
82,76,32,108.488,0.9663,11507
83,134,64,107.952,0.9659,11641
84,126,64,107.429,0.9656,11767
85,244,256,109.176,0.9649,12011
86,105,64,108.651,0.9645,12116
87,165,128,108.874,0.9641,12281
88,164,128,109.091,0.9636,12445
89,117,128,109.303,0.9632,12562
90,117,64,108.800,0.9629,12679
91,117,128,109.011,0.9626,12796
92,111,64,108.522,0.9622,12907
93,151,128,108.731,0.9618,13058
94,185,128,108.936,0.9612,13243
95,284,256,110.484,0.9604,13527
96,139,128,110.667,0.9600,13666
97,172,128,110.845,0.9595,13838
98,169,128,111.020,0.9590,14007
99,134,128,111.192,0.9586,14141
100,85,64,110.720,0.9584,14226
101,125,64,110.080,0.9580,14351
102,163,128,110.720,0.9575,14514
103,61,32,110.400,0.9574,14575
104,156,128,111.040,0.9569,14731
105,121,64,111.360,0.9565,14852
106,182,128,111.360,0.9560,15034
107,155,128,111.360,0.9556,15189
108,109,32,111.360,0.9552,15298
109,133,64,111.360,0.9548,15431
110,92,64,111.680,0.9546,15523
111,110,64,109.760,0.9543,15633
112,196,128,109.760,0.9537,15829
113,156,128,109.760,0.9532,15985
114,85,64,109.120,0.9530,16070
115,168,128,109.120,0.9525,16238
116,69,32,108.160,0.9523,16307
117,151,128,108.160,0.9518,16458
118,94,64,106.240,0.9516,16552
119,92,64,106.560,0.9513,16644
120,88,64,106.560,0.9510,16732
121,75,32,106.240,0.9508,16807
122,102,64,105.600,0.9505,16909
123,141,64,105.600,0.9501,17050
124,98,64,105.600,0.9498,17148
125,215,256,107.520,0.9492,17363
126,170,128,107.520,0.9487,17533
127,83,32,107.200,0.9485,17616
128,285,256,108.480,0.9476,17901
129,68,64,107.840,0.9474,17969
130,71,64,107.200,0.9472,18040
131,138,128,108.160,0.9468,18178
132,273,256,110.080,0.9460,18451
133,99,64,109.440,0.9457,18550
134,155,128,110.400,0.9453,18705
135,167,128,109.120,0.9448,18872
136,149,128,109.120,0.9443,19021
137,68,32,108.800,0.9441,19089
138,113,64,108.800,0.9438,19202
139,97,64,108.160,0.9435,19299
140,135,64,107.520,0.9431,19434
141,211,256,108.800,0.9425,19645
142,67,32,106.560,0.9423,19712
143,209,256,107.840,0.9417,19921
144,172,128,108.480,0.9412,20093
145,172,128,109.440,0.9407,20265
146,83,64,109.760,0.9405,20348
147,161,128,109.760,0.9400,20509
148,172,128,110.400,0.9395,20681
149,175,128,110.400,0.9390,20856
150,98,64,109.760,0.9387,20954
151,222,128,110.720,0.9380,21176
152,102,64,110.720,0.9377,21278
153,229,256,110.720,0.9371,21507
154,171,128,110.720,0.9366,21678
155,264,256,112.000,0.9358,21942
156,295,256,113.280,0.9349,22237
157,184,128,112.000,0.9344,22421
158,90,64,112.000,0.9341,22511
159,195,256,112.000,0.9336,22706
160,139,128,112.640,0.9332,22845
161,170,128,112.640,0.9327,23015
162,182,128,112.640,0.9321,23197
163,83,64,110.720,0.9319,23280
164,100,64,110.080,0.9316,23380
165,189,128,111.040,0.9310,23569
166,139,128,111.040,0.9306,23708
167,110,64,111.040,0.9303,23818
168,172,128,111.040,0.9298,23990
169,96,64,110.400,0.9295,24086
170,104,64,109.760,0.9292,24190
171,91,64,109.120,0.9290,24281
172,94,64,109.440,0.9287,24375
