episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,95,64,64.000,0.9997,95
2,130,64,64.000,0.9992,225
3,161,128,85.333,0.9987,386
4,138,128,96.000,0.9982,524
5,129,128,102.400,0.9977,653
6,188,128,106.667,0.9971,841
7,198,256,128.000,0.9964,1039
8,186,128,128.000,0.9958,1225
9,170,64,120.889,0.9952,1395
10,159,128,121.600,0.9946,1554
11,269,256,133.818,0.9937,1823
12,88,64,128.000,0.9934,1911
13,140,128,128.000,0.9929,2051
14,154,128,128.000,0.9924,2205
15,135,64,123.733,0.9919,2340
16,68,32,118.000,0.9917,2408
17,205,128,118.588,0.9910,2613
18,190,128,119.111,0.9903,2803
19,105,64,116.211,0.9900,2908
20,67,32,112.000,0.9897,2975
21,100,32,108.190,0.9894,3075
22,146,128,109.091,0.9889,3221
23,257,256,115.478,0.9880,3478
24,241,256,121.333,0.9872,3719
25,155,128,121.600,0.9866,3874
26,126,64,119.385,0.9862,4000
27,161,128,119.704,0.9856,4161
28,109,64,117.714,0.9853,4270
29,193,128,118.069,0.9846,4463
30,89,32,115.200,0.9843,4552
31,97,64,113.548,0.9840,4649
32,176,128,114.000,0.9834,4825
33,143,128,114.424,0.9829,4968
34,127,128,114.824,0.9824,5095
35,158,128,115.200,0.9819,5253
36,89,64,113.778,0.9816,5342
37,101,64,112.432,0.9812,5443
38,177,128,112.842,0.9806,5620
39,105,64,111.590,0.9803,5725
40,170,128,112.000,0.9797,5895
41,114,128,112.390,0.9793,6009
42,104,64,111.238,0.9789,6113
43,112,64,110.140,0.9785,6225
44,169,128,110.545,0.9779,6394
45,181,128,110.933,0.9773,6575
46,122,64,109.913,0.9769,6697
47,65,32,108.255,0.9767,6762
48,125,128,108.667,0.9762,6887
49,91,64,107.755,0.9759,6978
50,62,32,106.240,0.9757,7040
51,83,32,104.784,0.9754,7123
52,63,32,103.385,0.9752,7186
53,199,128,103.849,0.9745,7385
54,155,128,104.296,0.9740,7540
55,169,128,104.727,0.9734,7709
56,76,32,103.429,0.9731,7785
57,104,64,102.737,0.9728,7889
58,221,128,103.172,0.9720,8110
59,88,64,102.508,0.9717,8198
60,162,128,102.933,0.9712,8360
61,232,256,105.443,0.9704,8592
62,173,128,105.806,0.9698,8765
63,147,128,106.159,0.9693,8912
64,100,64,105.500,0.9689,9012
65,174,128,105.846,0.9683,9186
66,171,128,106.182,0.9677,9357
67,199,128,106.507,0.9670,9556
68,147,128,106.824,0.9665,9703
69,122,64,106.203,0.9661,9825
70,118,64,105.600,0.9657,9943
71,153,128,105.915,0.9652,10096
72,137,64,105.333,0.9647,10233
73,186,128,105.644,0.9641,10419
74,98,64,105.081,0.9637,10517
75,120,64,104.533,0.9633,10637
76,185,128,104.842,0.9627,10822
77,178,128,105.143,0.9621,11000
78,136,128,105.436,0.9616,11136
79,109,64,104.911,0.9612,11245
80,209,128,105.200,0.9605,11454
81,97,64,104.691,0.9602,11551
82,217,256,106.537,0.9594,11768
83,102,64,106.024,0.9591,11870
84,159,128,106.286,0.9585,12029
85,88,64,105.788,0.9582,12117
86,151,128,106.047,0.9577,12268
87,180,128,106.299,0.9571,12448
88,69,32,105.455,0.9568,12517
89,176,128,105.708,0.9562,12693
90,66,32,104.889,0.9560,12759
91,80,32,104.088,0.9557,12839
92,130,128,104.348,0.9553,12969
93,122,64,103.914,0.9548,13091
94,127,64,103.489,0.9544,13218
95,195,128,103.747,0.9537,13413
96,209,128,104.000,0.9530,13622
97,111,64,103.588,0.9526,13733
98,160,128,103.837,0.9521,13893
99,48,32,103.111,0.9519,13941
100,134,128,103.360,0.9514,14075
101,86,64,103.360,0.9511,14161
102,248,256,105.280,0.9503,14409
103,110,128,105.280,0.9499,14519
104,86,64,104.640,0.9496,14605
105,97,64,104.000,0.9493,14702
106,174,128,104.000,0.9487,14876
107,94,64,102.080,0.9484,14970
108,99,64,101.440,0.9480,15069
109,189,128,102.080,0.9474,15258
110,171,128,102.080,0.9468,15429
111,181,128,100.800,0.9462,15610
112,108,64,100.800,0.9458,15718
113,120,64,100.160,0.9454,15838
114,154,128,100.160,0.9448,15992
115,91,64,100.160,0.9445,16083
116,229,256,102.400,0.9437,16312
117,70,64,101.760,0.9435,16382
118,159,128,101.760,0.9429,16541
119,142,128,102.400,0.9424,16683
120,80,32,102.400,0.9422,16763
121,155,64,102.720,0.9416,16918
122,182,128,102.720,0.9410,17100
123,132,64,100.800,0.9406,17232
124,93,64,98.880,0.9402,17325
125,74,32,97.920,0.9400,17399
126,163,128,98.560,0.9394,17562
127,66,32,97.600,0.9392,17628
128,82,64,97.600,0.9389,17710
129,216,256,98.880,0.9382,17926
130,206,256,101.120,0.9375,18132
131,177,128,101.760,0.9368,18309
132,130,128,101.760,0.9364,18439
133,224,256,103.040,0.9356,18663
134,120,64,102.400,0.9352,18783
135,194,128,102.400,0.9345,18977
136,98,64,102.400,0.9342,19075
137,160,128,103.040,0.9336,19235
138,71,32,102.080,0.9334,19306
139,167,128,102.720,0.9328,19473
140,74,32,101.760,0.9326,19547
141,122,64,101.120,0.9321,19669
142,131,64,101.120,0.9317,19800
143,145,128,101.760,0.9312,19945
144,111,64,101.120,0.9308,20056
145,179,128,101.120,0.9302,20235
146,140,128,101.760,0.9297,20375
147,87,64,102.080,0.9294,20462
148,121,64,101.440,0.9290,20583
149,105,64,101.440,0.9286,20688
150,114,64,101.760,0.9282,20802
151,136,64,102.080,0.9278,20938
152,157,128,103.040,0.9272,21095
153,106,64,102.400,0.9269,21201
154,128,128,102.400,0.9264,21329
155,105,64,101.760,0.9261,21434
156,89,64,102.080,0.9258,21523
157,68,32,101.760,0.9255,21591
158,237,256,103.040,0.9247,21828
159,95,64,103.040,0.9244,21923
160,113,64,102.400,0.9240,22036
161,132,64,100.480,0.9235,22168
162,160,128,100.480,0.9230,22328
163,148,128,100.480,0.9225,22476
164,196,128,101.120,0.9218,22672
165,220,128,101.120,0.9210,22892
166,139,128,101.120,0.9206,23031
167,93,64,100.480,0.9202,23124
168,115,64,99.840,0.9198,23239
169,230,256,101.760,0.9190,23469
170,172,128,102.400,0.9184,23641
171,181,128,102.400,0.9178,23822
172,121,128,103.040,0.9174,23943
173,98,64,102.400,0.9171,24041
174,138,128,103.040,0.9166,24179
175,163,128,103.680,0.9160,24342
176,169,128,103.680,0.9154,24511
177,167,64,103.040,0.9149,24678
178,198,256,104.320,0.9142,24876
179,153,128,104.960,0.9137,25029
180,105,64,104.320,0.9133,25134
181,148,128,104.960,0.9128,25282
182,213,128,103.680,0.9121,25495
183,88,64,103.680,0.9117,25583
184,117,64,103.040,0.9113,25700
185,149,128,103.680,0.9108,25849
186,146,128,103.680,0.9103,25995
187,103,64,103.040,0.9100,26098
188,148,64,103.360,0.9095,26246
189,95,64,102.720,0.9091,26341
190,61,32,102.720,0.9089,26402
191,183,128,103.680,0.9083,26585
192,97,64,103.040,0.9080,26682
193,181,128,103.680,0.9073,26863
194,118,64,103.680,0.9069,26981
195,88,64,103.040,0.9066,27069
196,160,128,103.040,0.9061,27229
197,128,64,103.040,0.9056,27357
198,155,128,103.040,0.9051,27512
199,184,128,104.000,0.9045,27696
200,196,128,104.000,0.9038,27892
201,44,16,103.520,0.9036,27936
202,115,128,102.240,0.9032,28051
203,138,128,102.240,0.9028,28189
204,137,128,102.880,0.9023,28326
205,116,64,102.880,0.9019,28442
206,162,128,102.880,0.9013,28604
207,174,128,103.520,0.9007,28778
208,112,128,104.160,0.9003,28890
209,89,64,103.520,0.9000,28979
210,88,64,102.880,0.8997,29067
211,185,128,102.880,0.8991,29252
212,170,128,103.520,0.8985,29422
213,178,128,104.160,0.8979,29600
214,127,64,103.520,0.8975,29727
215,203,128,104.160,0.8968,29930
216,108,64,102.240,0.8964,30038
217,71,32,101.920,0.8961,30109
218,172,128,101.920,0.8955,30281
219,107,64,101.280,0.8952,30388
220,128,128,102.240,0.8947,30516
221,301,256,104.160,0.8937,30817
222,155,128,104.160,0.8932,30972
223,195,128,104.800,0.8925,31167
224,94,64,104.800,0.8922,31261
225,79,64,105.120,0.8919,31340
226,158,128,105.120,0.8913,31498
227,130,128,106.080,0.8909,31628
228,120,64,106.080,0.8905,31748
229,63,32,103.840,0.8903,31811
230,138,128,102.560,0.8898,31949
231,124,64,101.920,0.8894,32073
232,160,128,101.920,0.8888,32233
233,161,128,100.640,0.8883,32394
234,234,256,102.560,0.8874,32628
235,166,128,102.560,0.8869,32794
236,95,64,102.560,0.8865,32889
237,108,64,101.920,0.8862,32997
238,271,256,104.160,0.8852,33268
239,110,64,103.520,0.8849,33378
240,127,128,104.480,0.8844,33505
241,96,64,104.480,0.8841,33601
242,94,64,104.480,0.8838,33695
243,122,64,103.840,0.8833,33817
244,171,128,104.480,0.8828,33988
245,101,64,103.840,0.8824,34089
246,63,32,102.880,0.8822,34152
247,83,64,102.880,0.8819,34235
248,165,128,103.520,0.8813,34400
249,157,128,104.160,0.8808,34557
250,153,128,104.800,0.8803,34710
251,125,128,105.440,0.8798,34835
252,278,256,106.720,0.8789,35113
253,113,64,106.720,0.8785,35226
254,178,128,106.720,0.8779,35404
255,128,64,106.720,0.8774,35532
256,189,128,107.360,0.8768,35721
257,135,128,108.320,0.8763,35856
258,241,256,108.320,0.8755,36097
259,106,64,108.320,0.8751,36203
260,213,128,108.960,0.8744,36416
261,176,128,109.600,0.8738,36592
262,141,64,108.960,0.8733,36733
263,83,64,108.320,0.8730,36816
264,108,64,107.680,0.8726,36924
265,105,64,107.040,0.8723,37029
266,210,128,107.040,0.8715,37239
267,96,64,107.040,0.8712,37335
268,307,256,108.960,0.8701,37642
269,120,128,107.680,0.8697,37762
270,177,128,107.680,0.8691,37939
271,136,128,107.680,0.8687,38075
272,135,128,107.680,0.8682,38210
273,214,128,108.320,0.8674,38424
274,139,64,107.680,0.8670,38563
275,130,64,107.040,0.8665,38693
276,147,128,107.040,0.8660,38840
277,134,128,107.680,0.8656,38974
278,77,32,105.440,0.8653,39051
279,224,128,105.440,0.8645,39275
280,186,128,106.080,0.8639,39461
281,170,128,106.080,0.8633,39631
282,232,128,106.080,0.8625,39863
283,187,128,106.720,0.8618,40050
284,85,32,106.400,0.8615,40135
285,94,64,105.760,0.8612,40229
286,192,128,105.760,0.8606,40421
287,99,64,105.760,0.8602,40520
288,104,64,105.760,0.8599,40624
289,67,32,105.440,0.8596,40691
290,194,256,107.680,0.8590,40885
291,121,64,107.040,0.8585,41006
292,102,64,107.040,0.8582,41108
293,101,64,106.400,0.8578,41209
294,121,128,107.040,0.8574,41330
295,110,64,107.040,0.8570,41440
296,69,32,106.080,0.8568,41509
297,185,128,106.720,0.8562,41694
298,135,128,106.720,0.8557,41829
299,160,64,106.080,0.8552,41989
300,89,64,105.440,0.8548,42078
301,178,128,106.560,0.8542,42256
302,145,128,106.560,0.8537,42401
303,160,128,106.560,0.8532,42561
304,122,64,105.920,0.8528,42683
305,109,64,105.920,0.8524,42792
306,181,128,105.920,0.8518,42973
307,79,64,105.280,0.8515,43052
308,168,128,105.280,0.8509,43220
309,269,256,107.200,0.8500,43489
310,136,128,107.840,0.8495,43625
311,257,256,109.120,0.8486,43882
312,133,128,109.120,0.8482,44015
313,177,128,109.120,0.8476,44192
314,193,256,111.040,0.8469,44385
315,162,64,110.400,0.8463,44547
316,129,64,110.400,0.8459,44676
317,117,64,110.720,0.8455,44793
318,196,128,110.720,0.8448,44989
319,121,64,110.720,0.8444,45110
320,158,128,110.720,0.8438,45268
321,154,128,109.440,0.8433,45422
322,144,128,109.440,0.8428,45566
323,119,64,108.800,0.8424,45685
324,167,128,109.440,0.8418,45852
325,91,64,109.440,0.8415,45943
326,65,64,108.800,0.8413,46008
327,177,128,108.800,0.8407,46185
328,125,64,108.800,0.8402,46310
329,117,128,109.760,0.8398,46427
330,268,256,111.040,0.8389,46695
331,81,64,111.040,0.8386,46776
332,93,64,110.400,0.8383,46869
333,154,128,110.400,0.8378,47023
334,59,32,108.160,0.8376,47082
335,101,64,107.520,0.8372,47183
336,287,256,109.440,0.8362,47470
337,83,64,109.440,0.8360,47553
338,194,128,108.160,0.8353,47747
339,240,128,108.800,0.8345,47987
340,233,256,110.080,0.8337,48220
341,117,64,110.080,0.8333,48337
342,106,64,110.080,0.8329,48443
343,150,128,110.720,0.8324,48593
344,105,64,110.080,0.8320,48698
345,214,128,110.720,0.8313,48912
346,102,64,111.040,0.8309,49014
347,149,64,111.040,0.8304,49163
348,97,64,110.400,0.8301,49260
349,87,64,109.760,0.8298,49347
350,73,64,109.120,0.8295,49420
351,167,128,109.120,0.8289,49587
352,162,128,107.840,0.8284,49749
353,157,128,108.480,0.8278,49906
354,126,64,107.840,0.8274,50032
355,160,128,108.480,0.8269,50192
356,148,128,108.480,0.8263,50340
357,90,64,107.840,0.8260,50430
358,98,64,105.920,0.8257,50528
359,103,64,105.920,0.8253,50631
360,119,64,105.280,0.8249,50750
361,99,64,104.640,0.8246,50849
362,110,64,104.640,0.8242,50959
363,97,64,104.640,0.8239,51056
364,82,64,104.640,0.8236,51138
365,141,128,105.280,0.8231,51279
366,179,128,105.280,0.8225,51458
367,79,32,104.960,0.8222,51537
368,55,32,102.720,0.8220,51592
369,150,128,102.720,0.8215,51742
370,153,128,102.720,0.8210,51895
371,134,64,102.080,0.8205,52029
372,312,256,103.360,0.8194,52341
373,163,128,103.360,0.8189,52504
374,206,256,105.280,0.8182,52710
375,77,32,104.960,0.8179,52787
376,165,128,104.960,0.8173,52952
377,90,64,104.320,0.8170,53042
378,90,64,104.640,0.8167,53132
379,140,128,104.640,0.8162,53272
380,239,256,105.920,0.8154,53511
381,174,128,105.920,0.8148,53685
382,69,64,105.280,0.8146,53754
383,180,128,105.280,0.8139,53934
384,94,64,105.600,0.8136,54028
385,155,128,106.240,0.8131,54183
386,103,64,105.600,0.8127,54286
387,179,128,106.240,0.8121,54465
388,94,64,106.240,0.8118,54559
389,150,128,107.200,0.8113,54709
390,93,64,105.280,0.8110,54802
391,202,128,105.920,0.8103,55004
392,164,128,106.560,0.8097,55168
393,110,32,106.240,0.8093,55278
394,189,128,106.240,0.8087,55467
395,95,64,106.240,0.8083,55562
396,164,128,107.200,0.8078,55726
397,193,128,107.200,0.8071,55919
398,127,64,106.560,0.8067,56046
399,112,64,106.560,0.8063,56158
400,129,64,106.560,0.8058,56287
401,139,128,106.560,0.8053,56426
402,108,64,105.920,0.8050,56534
403,53,32,104.960,0.8048,56587
404,228,256,106.880,0.8040,56815
405,112,64,106.880,0.8036,56927
