episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,131,128,128.000,0.9992,131
2,86,64,96.000,0.9987,217
3,247,256,149.333,0.9972,464
4,50,32,120.000,0.9969,514
5,185,128,121.600,0.9958,699
6,150,128,122.667,0.9949,849
7,149,128,123.429,0.9940,998
8,130,64,116.000,0.9932,1128
9,151,64,110.222,0.9923,1279
10,132,64,105.600,0.9915,1411
11,143,64,101.818,0.9907,1554
12,145,128,104.000,0.9898,1699
13,182,128,105.846,0.9887,1881
14,104,64,102.857,0.9881,1985
15,186,128,104.533,0.9870,2171
16,148,128,106.000,0.9861,2319
17,187,128,107.294,0.9850,2506
18,114,64,104.889,0.9843,2620
19,137,128,106.105,0.9835,2757
20,247,256,113.600,0.9820,3004
21,163,128,114.286,0.9810,3167
22,92,32,110.545,0.9805,3259
23,125,64,108.522,0.9797,3384
24,123,64,106.667,0.9790,3507
25,109,64,104.960,0.9783,3616
26,45,16,101.538,0.9781,3661
27,105,64,100.148,0.9774,3766
28,232,256,105.714,0.9760,3998
29,147,128,106.483,0.9752,4145
30,60,32,104.000,0.9748,4205
31,159,128,104.774,0.9738,4364
32,139,128,105.500,0.9730,4503
33,93,64,104.242,0.9725,4596
34,59,32,102.118,0.9721,4655
35,209,256,106.514,0.9708,4864
36,94,64,105.333,0.9703,4958
37,123,64,104.216,0.9695,5081
38,134,128,104.842,0.9687,5215
39,172,128,105.436,0.9677,5387
40,135,128,106.000,0.9669,5522
41,231,256,109.659,0.9655,5753
42,208,256,113.143,0.9643,5961
43,91,64,112.000,0.9637,6052
44,99,64,110.909,0.9631,6151
45,138,128,111.289,0.9623,6289
46,155,128,111.652,0.9614,6444
47,177,128,112.000,0.9603,6621
48,142,128,112.333,0.9595,6763
49,108,64,111.347,0.9588,6871
50,199,128,111.680,0.9576,7070
51,69,32,110.118,0.9572,7139
52,183,128,110.462,0.9561,7322
53,230,256,113.208,0.9547,7552
54,136,128,113.481,0.9539,7688
55,176,128,113.745,0.9529,7864
56,128,128,114.000,0.9521,7992
57,118,64,113.123,0.9514,8110
58,171,128,113.379,0.9504,8281
59,169,128,113.627,0.9493,8450
60,150,128,113.867,0.9484,8600
61,112,128,114.098,0.9478,8712
62,85,64,113.290,0.9473,8797
63,202,256,115.556,0.9461,8999
64,256,256,117.750,0.9445,9255
65,170,128,117.908,0.9435,9425
66,179,128,118.061,0.9424,9604
67,130,128,118.209,0.9417,9734
68,169,128,118.353,0.9406,9903
69,168,128,118.493,0.9396,10071
70,166,128,118.629,0.9386,10237
71,110,64,117.859,0.9380,10347
72,91,64,117.111,0.9374,10438
73,82,64,116.384,0.9369,10520
74,101,64,115.676,0.9363,10621
75,109,64,114.987,0.9357,10730
76,188,128,115.158,0.9346,10918
77,149,128,115.325,0.9337,11067
78,164,128,115.487,0.9327,11231
79,151,128,115.646,0.9318,11382
80,179,128,115.800,0.9307,11561
81,137,128,115.951,0.9299,11698
82,148,128,116.098,0.9290,11846
83,126,128,116.241,0.9282,11972
84,148,128,116.381,0.9273,12120
85,161,128,116.518,0.9264,12281
86,92,64,115.907,0.9258,12373
87,141,128,116.046,0.9250,12514
88,145,128,116.182,0.9241,12659
89,61,32,115.236,0.9238,12720
90,165,128,115.378,0.9228,12885
91,114,64,114.813,0.9221,12999
92,172,128,114.957,0.9210,13171
93,81,64,114.409,0.9206,13252
94,145,128,114.553,0.9197,13397
95,84,32,113.684,0.9192,13481
96,117,64,113.167,0.9185,13598
97,89,64,112.660,0.9180,13687
98,110,64,112.163,0.9173,13797
99,151,128,112.323,0.9164,13948
100,72,32,111.520,0.9160,14020
101,138,128,111.520,0.9151,14158
102,129,128,112.160,0.9144,14287
103,230,128,110.880,0.9130,14517
104,158,128,111.840,0.9120,14675
105,158,128,111.840,0.9111,14833
106,95,64,111.200,0.9105,14928
107,127,128,111.200,0.9098,15055
108,133,128,111.840,0.9090,15188
109,168,128,112.480,0.9080,15356
110,138,128,113.120,0.9071,15494
111,91,64,113.120,0.9066,15585
112,125,64,112.480,0.9058,15710
113,109,64,111.840,0.9052,15819
114,164,128,112.480,0.9042,15983
115,95,64,111.840,0.9036,16078
116,133,64,111.200,0.9028,16211
117,86,64,110.560,0.9023,16297
118,192,128,111.200,0.9012,16489
119,113,64,110.560,0.9005,16602
120,143,128,109.280,0.8996,16745
121,98,64,108.640,0.8990,16843
122,189,128,109.600,0.8979,17032
123,111,64,109.600,0.8972,17143
124,123,64,109.600,0.8965,17266
125,92,64,109.600,0.8960,17358
126,103,64,110.080,0.8953,17461
127,105,64,110.080,0.8947,17566
128,152,64,108.160,0.8938,17718
129,148,128,108.160,0.8929,17866
130,142,128,109.120,0.8921,18008
131,179,128,109.120,0.8910,18187
132,87,64,108.480,0.8905,18274
133,215,128,109.120,0.8892,18489
134,181,128,110.080,0.8881,18670
135,92,64,108.160,0.8875,18762
136,179,128,108.800,0.8865,18941
137,174,128,109.440,0.8854,19115
138,130,64,108.800,0.8846,19245
139,230,256,110.080,0.8833,19475
140,187,128,110.080,0.8821,19662
141,178,128,108.800,0.8811,19840
142,191,128,107.520,0.8799,20031
143,92,64,107.520,0.8794,20123
144,172,128,108.160,0.8783,20295
145,136,64,107.520,0.8775,20431
146,195,128,107.520,0.8764,20626
147,108,64,106.880,0.8757,20734
148,83,64,106.240,0.8752,20817
149,100,64,106.240,0.8746,20917
150,164,128,106.240,0.8736,21081
151,192,128,107.200,0.8725,21273
