episode,step,max_tile,avg_max_tile,epsilon,buffer_size
1,84,64,64.000,0.9922,84
2,86,64,64.000,0.9842,170
3,169,128,85.333,0.9686,339
4,85,64,80.000,0.9607,424
5,143,128,89.600,0.9475,567
6,65,32,80.000,0.9414,632
7,112,64,77.714,0.9310,744
8,148,128,84.000,0.9173,892
9,98,128,88.889,0.9083,990
10,54,32,83.200,0.9032,1044
11,163,128,87.273,0.8881,1207
12,175,128,90.667,0.8719,1382
13,156,128,93.538,0.8575,1538
14,151,128,96.000,0.8435,1689
15,144,128,98.133,0.8301,1833
16,109,128,100.000,0.8200,1942
17,120,64,97.882,0.8089,2062
18,85,32,94.222,0.8010,2147
19,202,128,96.000,0.7823,2349
20,88,64,94.400,0.7742,2437
21,72,32,91.429,0.7675,2509
22,189,128,93.091,0.7500,2698
23,168,128,94.609,0.7344,2866
24,97,64,93.333,0.7254,2963
25,159,128,94.720,0.7107,3122
26,108,64,93.538,0.7007,3230
27,134,128,94.815,0.6882,3364
28,119,64,93.714,0.6772,3483
29,105,64,92.690,0.6675,3588
30,124,128,93.867,0.6560,3712
31,115,64,92.903,0.6453,3827
32,124,64,92.000,0.6338,3951
33,198,128,93.091,0.6155,4149
34,71,32,91.294,0.6089,4220
35,150,128,92.343,0.5950,4370
36,256,256,96.889,0.5713,4626
37,152,128,97.730,0.5572,4778
38,198,128,98.526,0.5388,4976
39,112,64,97.641,0.5285,5088
40,147,64,96.800,0.5148,5235
41,172,128,97.561,0.4989,5407
42,115,64,96.762,0.4882,5522
43,106,32,95.256,0.4784,5628
44,172,128,96.000,0.4625,5800
45,129,128,96.711,0.4505,5929
46,143,64,96.000,0.4373,6072
47,138,64,95.319,0.4245,6210
48,215,256,98.667,0.4046,6425
49,99,32,97.306,0.3954,6524
50,164,128,97.920,0.3802,6688
51,201,128,98.510,0.3616,6889
52,161,128,99.077,0.3466,7050
53,258,128,99.623,0.3227,7308
54,519,256,102.519,0.2746,7827
55,203,128,102.982,0.2558,8030
56,83,32,101.714,0.2481,8113
57,344,256,104.421,0.2162,8457
58,157,128,104.828,0.2017,8614
59,111,64,104.136,0.1914,8725
60,233,128,104.533,0.1698,8958
61,125,64,103.869,0.1582,9083
62,152,64,103.226,0.1441,9235
63,138,64,102.603,0.1314,9373
64,108,16,101.250,0.1213,9481
65,447,128,101.662,0.0799,9928
66,325,64,101.091,0.0500,10253
67,459,128,101.493,0.0500,10712
68,399,128,101.882,0.0500,11111
69,672,128,102.261,0.0500,11783
70,220,64,101.714,0.0500,12003
71,110,32,100.732,0.0500,12113
72,186,32,99.778,0.0500,12299
73,122,32,98.849,0.0500,12421
74,265,128,99.243,0.0500,12686
75,306,64,98.773,0.0500,12992
76,478,128,99.158,0.0500,13470
77,172,64,98.701,0.0500,13642
78,103,64,98.256,0.0500,13745
79,48,16,97.215,0.0500,13793
80,461,128,97.600,0.0500,14254
81,414,64,97.185,0.0500,14668
